service_name|merchant_default_p|default_price|default_billing_type|currency_id|meta_status
3rd Party Marketplace Integrations|0|185|monthly-per-location|1|active
Menu Manager|0|50|monthly-per-location|1|active
Business Manager Reporting|0|129|monthly-per-location|1|active
Order Management and Fulfilment Service|0|185|monthly-per-location|1|active
3rd Party POS Integrations|0|400|monthly-per-location|1|active
iBlinkX Advanced Reporting|0|150|monthly-per-location|1|active
MyApp: An Online Mobile Restaurant App|0|185|monthly-per-location|1|active
MyApp: Loyalty Programs, Promotional Content and Reservations|0|200|monthly-per-location|1|active
On Premise QR Code Digital Menu and Ordering|0|180|monthly-per-location|1|active
Web Link Digital Menu and Ordering|0|100|monthly-per-location|1|active
Restaurant Reservation Management|0|150|monthly-per-location|1|active
In-house Payments|0|50|monthly-per-location|1|active
My Pulse|0|150|monthly-per-location|1|active
Tablet Software (1)|0|70|monthly-per-location|1|active
Brand (1)|0|70|monthly-per-location|1|active
Printer Software (1)|0|20|monthly-per-location|1|active
QC And Auditing|0|150|monthly-per-location|1|active
Campaign Recommendation Engine: Online 3rd Party Marketplaces|0|250|monthly-per-location|1|active
Campaign Recommendation Engine: Social Media|0|200|monthly-per-location|1|active
Neighbourhood Pulse|0|200|monthly-per-location|1|active
VR Menu and Brand Creation Pilot|0|400|monthly-per-location|1|active
iBlinkX Ai - Staff Work Optimiser|0|200|monthly-per-location|1|active
iBlinkX Ai - Inventory Optimiser|0|500|monthly-per-location|1|active
Corporate Meals|0|300|monthly-per-location|1|active
Banquet Meals|0|100|monthly-per-location|1|active
Meal Plans|0|200|monthly-per-location|1|active
SupplyBlox Lite: Restaurant Inventory & Procurement|0|100|monthly-per-location|1|active
SupplyBlox Enterprise: Marketplace Module|0|1000|monthly-per-location|1|active
SupplyBlox Enterprise: Supplier-side Order Management |0|800|monthly-per-location|1|active
SupplyBlox Enterprise: Restaurant Stock Recieving & Counting App|0|50|monthly-per-location|1|active
SupplyBlox Enterprise: Stock Labelling|0|100|monthly-per-location|1|active
SupplyBlox Enterprise: Supplier-Client Chats|0|200|monthly-per-location|1|active
SupplyBlox Enterprise: Supplier Stock Production|0|200|monthly-per-location|1|active
SupplyBlox Enterprise: Stock Count Update App |0|50|monthly-per-location|1|active
SupplyBlox Enterprise: Logistics Platform (up to 4 Drivers)|0|100|monthly-per-location|1|active
SupplyBlox Enterprise: SAP/ORACLE Integrations|0|1000|monthly-per-location|1|active
Finance & Accounting Module|0|1200|monthly|1|active
