item_id|branch_id|external_item_id|item_image_id|sequence_nr|display_name_en|display_name_ar|item_description_en|item_description_ar|specific_price|currency_id|excluded_p|meta_status
1|7|bbd_536569|41|1|burger & brisket duo|Burger & Brisket Duo|fresh brioche bun, double beef patty, double cheese, lollo bionda, some diced red onion, little mustard, our special sauce, and smok'd brisket carnitas on top.|Fresh brioche bun, double beef patty, double cheese, lollo bionda, some diced red onion, little mustard, our special sauce, and smok'd brisket carnitas on top.|47.00|1|0|active
2|7|bbd_332469|42|2|burger & bacon duo|Burger & Bacon Duo|fresh brioche bun, double beef patty, double cheese, dill pickles, smok'd bacon and fried onion ring on top, with little mustard and some of our homemade smok'd hickory sauce.|Fresh brioche bun, double beef patty, double cheese, dill pickles, smok'd bacon and fried onion ring on top, with little mustard and some of our homemade smok'd hickory sauce.|45.00|1|0|active
3|7|bpd_571137|43|3|burger & pastrami duo|Burger & Pastrami Duo|fresh brioche bun, double beef patty, double cheese, some tomato, lollo bionda, a little red onion, mustard, sweet relish, crowned with smok'd pastrami.|Fresh brioche bun, double beef patty, double cheese, some tomato, lollo bionda, a little red onion, mustard, sweet relish, crowned with smok'd Pastrami.|49.00|1|0|active
4|7|fbs_415581|44|4|famous brisket sandwich|Famous Brisket Sandwich|the famous one and only mattar farm brisket sandwich. now better than ever! smok'd brisket with mixed cabbage, carrot, little onion pickles, dill pickles and bbq creamy sauce|The famous one and only Mattar Farm brisket sandwich. Now better than ever! Smok'd brisket with mixed cabbage, carrot, little onion pickles, dill pickles and BBQ Creamy Sauce|38.00|1|0|active
5|7|bgc_232837|45|5|brisket grilled cheese|Brisket Grilled Cheese|smok'd brisket, a mix of cheddar cheese in toasted fresh bread.|Smok'd brisket, a mix of cheddar cheese in toasted fresh bread.|39.00|1|0|active
6|7|cs_953163|46|6|chicken sando|Chicken Sando|hand breaded chicken, lollo bionda lettuce, tomatoes, some dill pickles, unsweetened coleslaw, some sriracha mayo in a toasted fresh brioche bun.|Hand breaded chicken, lollo bionda lettuce, tomatoes, some dill pickles, unsweetened coleslaw, some sriracha mayo in a toasted fresh brioche bun.|34.00|1|0|active
7|7|dp_181853|47|7|da pastrami|Da Pastrami|freshly smoked pastrami, a little mustard and dill pickle.|Freshly smoked Pastrami, a little mustard and dill pickle.|39.00|1|0|active
8|7|ps_544415|48|8|pastrami sando|Pastrami Sando|a generous portion of freshly smok'd pastrami, lollo bionda, tomatoes, with a little house mustard and some chipotle mayo.|A generous portion of freshly smok'd pastrami, lollo bionda, tomatoes, with a little house mustard and some chipotle mayo.|39.00|1|0|active
9|7|oc_554931|49|9|original cheeseburger|Original Cheeseburger|fresh brioche bun, double beef patty, double cheese, lollo bionda, tomato slices, dill pickle and our house burger sauce.|Fresh brioche bun, double beef patty, double cheese, lollo bionda, tomato slices, dill pickle and our house burger sauce.|36.00|1|0|active
10|7|pb_764001|50|10|'project' burger|'Project' Burger|fresh brioche bun, double beef patty, double cheese, smok'd chorizo, a little hickory sauce on top, dill pickle and our house burger sauce.|Fresh brioche bun, double beef patty, double cheese, smok'd chorizo, a little hickory sauce on top, dill pickle and our house burger sauce.|42.00|1|0|active
11|7|cbb_092729|51|11|classic bacon burger|Classic Bacon Burger|fresh brioche bun, double beef patty, double cheese, smok'd bacon, a little hickory sauce on top, lollo bionda, little red onion, dill pickle and our house burger sauce.|Fresh brioche bun, double beef patty, double cheese, smok'd bacon, a little hickory sauce on top, lollo bionda, little red onion, dill pickle and our house burger sauce.|39.00|1|0|active
12|7|fbc_660132|52|12|famous brisket combo|FAMOUS BRISKET COMBO|our famous brisket sandwich + your choice of fries or coleslaw + your choice of drink.|Our Famous Brisket Sandwich + your choice of fries or coleslaw + your choice of drink.|52.00|1|0|active
13|7|pbc_071329|53|13|project burger combo|PROJECT BURGER COMBO|mf project burger + your choice of fries or coleslaw + your choice of drink.|MF Project Burger + your choice of fries or coleslaw + your choice of drink.|56.00|1|0|active
14|7|bwr_866929|54|14|buffalo wings & ranch|Buffalo Wings & Ranch|6 pieces of smoked chicken wings tossed in our house buffalo sauce. comes with ranch sauce on the side.|6 pieces of smoked chicken wings tossed in our house buffalo sauce. Comes with ranch sauce on the side.|29.00|1|0|active
